"Date","Price","Open","High","Low","Vol.","Change %"
"23-06-2024","13.64","13.48","13.68","13.48","2.36M","1.17%"
"22-06-2024","13.48","13.85","13.91","13.47","2.57M","-2.67%"
"21-06-2024","13.85","14.26","14.59","13.85","4.61M","-2.86%"
"20-06-2024","14.26","14.35","14.83","14.20","3.37M","-0.64%"
"19-06-2024","14.35","13.98","14.50","13.92","3.63M","2.60%"
"18-06-2024","13.98","14.52","14.60","12.98","7.70M","-3.71%"
"17-06-2024","14.52","15.14","15.21","14.04","4.50M","-4.10%"
"16-06-2024","15.14","14.86","15.22","14.58","2.57M","1.89%"
"15-06-2024","14.86","14.75","15.11","14.70","2.77M","0.73%"
"14-06-2024","14.75","15.14","15.46","14.47","4.39M","-2.57%"
"13-06-2024","15.14","16.01","16.04","15.07","3.80M","-5.38%"
"12-06-2024","16.01","14.99","16.23","14.74","5.18M","6.75%"
"11-06-2024","14.99","15.90","15.91","14.70","5.42M","-5.72%"
"10-06-2024","15.90","16.37","16.39","15.78","3.06M","-2.86%"
"09-06-2024","16.37","15.93","16.38","15.92","1.95M","2.75%"
"08-06-2024","15.93","16.32","16.42","15.70","3.20M","-2.40%"
"07-06-2024","16.33","17.25","17.71","15.42","5.57M","-5.37%"
"06-06-2024","17.25","17.74","17.77","17.12","4.46M","-2.73%"
"05-06-2024","17.74","17.72","18.08","17.63","3.82M","0.07%"
"04-06-2024","17.72","17.63","17.84","17.49","3.31M","0.53%"
"03-06-2024","17.63","18.15","18.35","17.55","3.88M","-2.88%"
"02-06-2024","18.15","18.44","18.56","18.07","2.39M","-1.57%"
"01-06-2024","18.44","18.41","18.67","18.27","2.27M","0.15%"
"31-05-2024","18.42","17.94","18.73","17.48","4.21M","2.63%"
"30-05-2024","17.94","18.46","19.19","17.80","4.98M","-2.80%"
"29-05-2024","18.46","18.54","19.21","18.05","5.61M","-0.40%"
"28-05-2024","18.54","18.78","18.83","17.88","7.01M","-1.32%"
"27-05-2024","18.78","17.04","18.86","16.89","7.03M","10.21%"
"26-05-2024","17.04","17.44","17.89","17.03","4.28M","-2.30%"
"25-05-2024","17.44","17.25","17.47","16.93","3.46M","1.15%"
"24-05-2024","17.25","16.60","17.77","16.57","9.20M","3.86%"
"23-05-2024","16.60","16.36","16.80","15.53","7.45M","1.52%"
"22-05-2024","16.36","16.74","16.92","16.18","5.45M","-2.29%"